"cshtml","PageCssPath","desktop","mobile","score","fe","pri"
"Views/Paneller/Partner/Preferences.cshtml","","(controller PageCssPath)","via layout","2","fe-partner","P1"
"Views/Paneller/Partner/Pricing.cshtml","","(controller PageCssPath)","via layout","2","fe-partner","P1"
"Views/Paneller/Partner/Reconciliation.cshtml","paneller/partner/finance","paneller/partner/finance.css","yes","4","fe-partner","P1"
"Views/Paneller/Partner/ReservationCalendar.cshtml","paneller/partner/reservations","paneller/partner/reservations.css","yes","4","fe-partner","P1"
"Views/Paneller/Partner/Reservations.cshtml","","(controller PageCssPath)","via layout","2","fe-partner","P1"
"Views/Paneller/Partner/Restrictions.cshtml","","(controller PageCssPath)","via layout","2","fe-partner","P1"
"Views/Paneller/Partner/Reviews.cshtml","","(controller PageCssPath)","via layout","2","fe-partner","P1"
"Views/Paneller/Partner/RoomFeatures.cshtml","paneller/partner/room-features","paneller/partner/room-features.css","yes","4","fe-partner","P1"
"Views/Paneller/Partner/Rooms.cshtml","","(controller PageCssPath)","via layout","2","fe-partner","P1"
"Views/Paneller/Partner/Security.cshtml","paneller/partner/security","paneller/partner/security.css","yes","4","fe-partner","P1"
"Views/Paneller/Partner/Settings.cshtml","","(controller PageCssPath)","via layout","2","fe-partner","P1"
"Views/Paneller/Partner/StockQuota.cshtml","","(controller PageCssPath)","via layout","2","fe-partner","P1"
"Views/Paneller/Partner/SuperPrice.cshtml","","(controller PageCssPath)","via layout","2","fe-partner","P1"
"Views/Paneller/Partner/Support.cshtml","paneller/partner/support","paneller/partner/support.css","yes","4","fe-partner","P1"
"Views/Paneller/Satis/_SalesMobileNav.cshtml","","(layout/shell)","yes","4","fe-satis","P1"
"Views/Paneller/Satis/_SalesPanelFooter.cshtml","","(layout/shell)","yes","4","fe-satis","P1"
"Views/Paneller/Satis/_SalesPanelLayout.cshtml","","(layout/shell)","yes","4","fe-satis","P1"
"Views/Paneller/Satis/_SalesSidebar.cshtml","","(layout/shell)","yes","4","fe-satis","P1"
"Views/Paneller/Satis/Availability.cshtml","","(controller PageCssPath)","via layout","2","fe-satis","P1"
"Views/Paneller/Satis/CreateReservation.cshtml","","(controller PageCssPath)","via layout","2","fe-satis","P1"
"Views/Paneller/Satis/Customers.cshtml","","(controller PageCssPath)","via layout","2","fe-satis","P1"
"Views/Paneller/Satis/Dashboard.cshtml","","(controller PageCssPath)","via layout","2","fe-satis","P1"
"Views/Paneller/Satis/Hotels.cshtml","","(controller PageCssPath)","via layout","2","fe-satis","P1"
"Views/Paneller/Satis/Reports.cshtml","","(controller PageCssPath)","via layout","2","fe-satis","P1"
"Views/Paneller/Satis/ReservationPdf.cshtml","","(controller PageCssPath)","via layout","2","fe-satis","P1"
"Views/Paneller/Satis/Reservations.cshtml","","(controller PageCssPath)","via layout","2","fe-satis","P1"
"Views/Paneller/Satis/Security.cshtml","","(controller PageCssPath)","via layout","2","fe-satis","P1"
"Views/Paneller/User/_UserMobileNav.cshtml","","(layout/shell)","yes","4","fe-user","P1"
"Views/Paneller/User/_UserPanelFooter.cshtml","","(layout/shell)","yes","4","fe-user","P1"
"Views/Paneller/User/_UserPanelLayout.cshtml","","(layout/shell)","yes","4","fe-user","P1"
"Views/Paneller/User/_UserRouteHub.cshtml","","(layout/shell)","yes","4","fe-user","P1"
"Views/Paneller/User/_UserSidebar.cshtml","","(layout/shell)","yes","4","fe-user","P1"
"Views/Paneller/User/Dashboard.cshtml","","(controller PageCssPath)","via layout","2","fe-user","P1"
